date,open,high,low,close,volume,return_1,return_5,log_return_1,sma_20,sma_50,sma_200,sma_ratio_20,sma_ratio_50,ema_12,ema_20,ema_26,ema_ratio_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_width,bb_pct_b,roc_5,roc_10,atr_14,atr_ratio,stoch_k,stoch_d,obv,obv_change,vwap,vwap_ratio,z_score_20,future_return,target_direction
1981-02-24,0.1071429997682571,0.1071429997682571,0.1060269996523857,0.1060269996523857,16979200.0,-0.03553070334261221,-0.09090361441549877,-0.03617728057240194,0.12176339924335475,0.1325780993700027,,-0.12923751873515366,-0.20026761466475274,0.1159700400935697,0.1206316670979661,0.1231087838185087,-0.12106827168126444,0.3030304058888909,-0.007138743724939001,-0.005799901013249941,-0.00133884271168906,0.14100121275062838,0.1025255857360811,0.3159868010718918,0.09100342705216329,-0.09090361441549877,-0.12844014109630442,0.003997439189614641,0.03770208722986056,0.0,0.02702566487911003,-213785600.0,-0.08627361711814249,0.12376012850856022,-0.14328628347333983,-1.635986291791347,0.06315373175871852,1
1981-02-25,0.1127230003476142,0.1132809966802597,0.1127230003476142,0.1127230003476142,19488000.0,0.06315373175871852,-0.07339788355543386,0.06123970956055987,0.12025669924914832,0.13226559951901432,,-0.0626468125981553,-0.147752697923474,0.11547049551726886,0.11987846074078973,0.12233946652436838,-0.05968929154543956,0.38523480811908356,-0.006868971007099517,-0.006013715012019857,-0.0008552559950796602,0.13711105922015937,0.10340233927813727,0.2803063792078995,0.2765059333462726,-0.07339788355543386,-0.07339788355543386,0.0042300504637760245,0.03752606345405491,0.29267020259107585,0.12458239907613532,-194297600.0,0.09115674769488684,0.12213589652737844,-0.07706903905727835,-0.8939762666149099,0.014850531332156303,1
1981-02-26,0.1143969967961311,0.1149550005793571,0.1143969967961311,0.1143969967961311,10841600.0,0.014850531332156303,0.0,0.014741341878691376,0.11905689910054203,0.13212049946188922,,-0.039140128288371545,-0.1341465006410345,0.11530534186786305,0.11935641655558415,0.12175113543338784,-0.04155134598183463,0.4041555376082374,-0.006445793565524785,-0.006100130722720843,-0.00034566284280394214,0.13375348084446823,0.10436031735661581,0.24688332813901243,0.34146305632135326,0.0,-0.02844263152429638,0.004087332590059374,0.035729369690914885,0.3658375904130784,0.21950259766805144,-183456000.0,0.05579893935900392,0.1207632547341095,-0.05271684629563267,-0.6341477747145877,0.03415301640831547,1
1981-02-27,0.1183039993047714,0.1194199994206428,0.1183039993047714,0.1183039993047714,14761600.0,0.03415301640831547,0.09278673765131984,0.03358275005855054,0.11830354928970332,0.1322321194410324,,3.8039016645452506e-06,-0.1053308393992134,0.11576667378123356,0.11925618634122104,0.12149579201645329,-0.007984382744935403,0.4469389592466177,-0.005729118235219724,-0.00602592822522062,0.0002968099900008958,0.13136432204868562,0.10524277653072103,0.22080102984905206,0.5000172277351569,0.09278673765131984,0.014361799548847864,0.004154166163948825,0.03511433415912661,0.7333492364501221,0.4639523431514254,-168694400.0,0.08046398046398047,0.11915233903876463,-0.007119790856285557,6.891094062736275e-05,0.004716694165076252,1
1981-03-02,0.1188620030879974,0.1194199994206428,0.1188620030879974,0.1188620030879974,11760000.0,0.004716694165076252,0.08122226313502612,0.004705605417635558,0.11794084981083866,0.13229909956455227,,0.007810298794998838,-0.10156604633577693,0.11624287828996646,0.11921864507900927,0.12130069654027137,-0.002991495086825724,0.45298016762463755,-0.005057818250304907,-0.005832306230237478,0.0007744879799325708,0.13048063542096033,0.10540106420071697,0.21264533247358855,0.5367292275082924,0.08122226313502612,0.044123741459965116,0.003937154303371866,0.03312374182737828,0.7666808044188111,0.6219558770940038,-156934400.0,0.0697118576550259,0.1181323229133523,0.006176803745578718,0.14691691003316856,-0.014083591523004091,0
1981-03-03,0.117746002972126,0.117746002972126,0.1171879991889,0.1171879991889,16172800.0,-0.014083591523004091,0.10526563585790538,-0.014183706394291729,0.11785714961588381,0.1322656194865703,,-0.005677639660934375,-0.11399500759304448,0.11638828150518701,0.1190252502323322,0.12099605229202164,-0.015435809123240385,0.43753929579303635,-0.004607770786834622,-0.0055873991415569075,0.0009796283547222851,0.13039339354423932,0.1053209056875283,0.2127362484026336,0.4733113669928567,0.10526563585790538,0.004792994669177375,0.003775500703066547,0.03221746876129071,0.666686545562654,0.7222388621438623,-173107200.0,-0.10305452469312018,0.11802787818103413,-0.007115937396128702,-0.10675453202857313,-0.009531679876801813,0
1981-03-04,0.1166289970278739,0.1166289970278739,0.1160710006952285,0.1160710006952285,13708800.0,-0.009531679876801813,0.029701128760676543,-0.009577397077183934,0.11749439947307105,0.13206471964716907,,-0.012114609583317115,-0.12110515961166779,0.1163394690728857,0.1187438931335604,0.12063123365522214,-0.02250972549237118,0.4270781139424556,-0.004291764582336446,-0.005328272229712815,0.0010365076473763685,0.12978173071064614,0.10520706823549597,0.20915603284378265,0.44207860314330266,0.029701128760676543,-0.04587675478499831,0.003585607688109758,0.03089150318885083,0.599964217987223,0.677777189322896,-186816000.0,-0.07919254658385093,0.11762422082029074,-0.0132049344448818,-0.23168558742678944,-0.004807434931065724,0
1981-03-05,0.1160710006952285,0.1160710006952285,0.1155129969120025,0.1155129969120025,5376000.0,-0.004807434931065724,0.009755501867415584,-0.004819027815990412,0.11688054911792274,0.13172989949584005,,-0.011700425915526003,-0.12310722657424988,0.1162123195096729,0.11843618873150727,0.12025210500757624,-0.02468157622102818,0.4216544889202499,-0.004039785497903348,-0.005070574883350922,0.0010307893854475747,0.12818995978272582,0.10557113845311965,0.19352083387960187,0.43953919233933614,0.009755501867415584,0.009755501867415584,0.003369350266332347,0.029168581513811034,0.5666326500185339,0.6110944711894702,-192192000.0,-0.02877697841726619,0.11662101204242555,-0.009500990524931918,-0.2418432306426566,-0.009661251510265534,0
1981-03-06,0.1155129969120025,0.1155129969120025,0.1143969967961311,0.1143969967961311,11603200.0,-0.009661251510265534,-0.03302510930822533,-0.009708224188720107,0.11621089875698085,0.13126113951206203,,-0.015608707791193943,-0.12847780217831506,0.11593303909220493,0.11805150378528097,0.11981839328820994,-0.03095688637560179,0.41042832336216084,-0.0038853541960050114,-0.004833530745881741,0.0009481765498767294,0.12632312532626683,0.10609867218769488,0.17403232704417113,0.41031144583136914,-0.03302510930822533,0.05669733618980599,0.003208396684156564,0.028046161822537212,0.49996995913106673,0.5555222757122745,-203795200.0,-0.060372960372960374,0.11624623645588977,-0.015907952946591752,-0.3587542166745223,-0.0780439498101646,0
1981-03-09,0.1060269996523857,0.1060269996523857,0.1054690033197403,0.1054690033197403,15321600.0,-0.0780439498101646,-0.1126768809233496,-0.08125772446859704,0.11506694927811618,0.13046873956918714,,-0.08341183996438206,-0.19161476022529955,0.11432318743490266,0.11685317040761042,0.11875547551276774,-0.09742283455519063,0.33385078174858634,-0.004432288077865082,-0.004753282212278409,0.0003209941344133275,0.12455520467332017,0.1055786938829122,0.16491712789344784,0.0,-0.1126768809233496,-0.04060648905991382,0.003616939312173296,0.034293860739426606,0.0,0.3555342030498669,-219116800.0,-0.07518135854033854,0.115148311990493,-0.08405949252258127,-2.023121334450453,-0.047625391976863996,0
