date,adj_close,close,high,low,open,volume,symbol
2015-03-16,27.758129119873047,31.237499237060547,31.237499237060547,30.717500686645508,30.969999313354492,143497200,AAPL
2015-03-17,28.222427368164062,31.760000228881836,31.829999923706055,31.412500381469727,31.475000381469727,204092400,AAPL
2015-03-18,28.540115356445312,32.11750030517578,32.290000915527344,31.592500686645508,31.75,261083600,AAPL
2015-03-19,28.32461929321289,31.875,32.3125,31.850000381469727,32.1875,183238000,AAPL
2015-03-20,27.969179153442383,31.475000381469727,32.099998474121094,31.290000915527344,32.0625,274780400,AAPL
2015-03-23,28.26019287109375,31.802499771118164,31.962499618530273,31.6299991607666,31.780000686645508,150838800,AAPL
2015-03-24,28.14467430114746,31.672500610351562,32.0099983215332,31.639999389648438,31.8075008392334,131369200,AAPL
2015-03-25,27.409347534179688,30.844999313354492,31.704999923706055,30.844999313354492,31.635000228881836,206620800,AAPL
2015-03-26,27.600391387939453,31.059999465942383,31.219999313354492,30.649999618530273,30.690000534057617,190291600,AAPL
2015-03-27,27.380462646484375,30.8125,31.174999237060547,30.727500915527344,31.142499923706055,158184800,AAPL
2015-03-30,28.07358741760254,31.592500686645508,31.600000381469727,31.0,31.012500762939453,188398800,AAPL
2015-03-31,27.642602920532227,31.107500076293945,31.622499465942383,31.09000015258789,31.522499084472656,168362400,AAPL
2015-04-01,27.60261344909668,31.0625,31.280000686645508,30.774999618530273,31.204999923706055,162485600,AAPL
2015-04-02,27.84031867980957,31.329999923706055,31.389999389648438,31.047500610351562,31.25749969482422,128880400,AAPL
2015-04-06,28.291292190551758,31.837499618530273,31.877500534057617,31.082500457763672,31.11750030517578,148776000,AAPL
2015-04-07,27.99361228942871,31.502500534057617,32.029998779296875,31.4950008392334,31.90999984741211,140049200,AAPL
2015-04-08,27.90252685546875,31.399999618530273,31.600000381469727,31.24250030517578,31.462499618530273,149316800,AAPL
2015-04-09,28.11578941345215,31.639999389648438,31.645000457763672,31.165000915527344,31.462499618530273,129936000,AAPL
2015-04-10,28.235754013061523,31.774999618530273,31.802499771118164,31.315000534057617,31.487499237060547,160752000,AAPL
2015-04-13,28.18021583557129,31.712499618530273,32.14250183105469,31.65250015258789,32.092498779296875,145460400,AAPL
2015-04-14,28.058032989501953,31.575000762939453,31.822500228881836,31.477500915527344,31.75,102098400,AAPL
2015-04-15,28.164669036865234,31.69499969482422,31.782499313354492,31.502500534057617,31.602500915527344,115881600,AAPL
2015-04-16,28.029155731201172,31.542499542236328,31.774999618530273,31.52750015258789,31.56999969482422,113476000,AAPL
2015-04-17,27.713685989379883,31.1875,31.53499984741211,31.114999771118164,31.387500762939453,207828000,AAPL
2015-04-20,28.34683609008789,31.899999618530273,32.029998779296875,31.292499542236328,31.392499923706055,188217200,AAPL
2015-04-21,28.193552017211914,31.727500915527344,32.04999923706055,31.667499542236328,32.025001525878906,129740400,AAPL
2015-04-22,28.57342529296875,32.154998779296875,32.217498779296875,31.579999923706055,31.747499465942383,150618000,AAPL
2015-04-23,28.80668830871582,32.41749954223633,32.60499954223633,32.03499984741211,32.07500076293945,183083600,AAPL
2015-04-24,28.942209243774414,32.56999969482422,32.657501220703125,32.307498931884766,32.622501373291016,178103600,AAPL
2015-04-27,29.46870994567871,33.162498474121094,33.282501220703125,32.787498474121094,33.07749938964844,387816800,AAPL
